job_no,domain,roles,companies,locations,experience,salaries,skills
1377,Marketing,Digital Marketing Intern,Nexivo,Hyderabad,No fixed duration,Unpaid,
1378,Marketing,Digital Marketing Intern,Arin & Human,Hyderabad,0-5 Yrs,Not Disclosed,"Social media marketing,Development planning,Email marketing,digital marketing intern,Marketing campaigns,Manager PPC,Market research,SEO"
1379,Marketing,Digital Marketing Intern,iFive,Chennai,No fixed duration,Unpaid,
1380,Marketing,Manager - Digital Marketing,Hexaware Technologies,"Noida, Bhopal, Mumbai, Nagpur, Dehradun, Mangaluru, Hyderabad, Pune, Chennai, Ahmedabad, Coimbatore, Bengaluru",7-10 Yrs,Not Disclosed,"Social media marketing,PPC,Google Analytics,Email marketing,SEM,Manager Quality Control,SEO,Digital marketing"
1381,Marketing,Digital Marketing Executive - Navi Mumbai,Hexaware Technologies,Navi Mumbai,2-5 Yrs,Not Disclosed,"Social media marketing,Online Reputation Management,Search and Display marketing,Account based marketing,Management,Searching,Digital,Media"
1382,Marketing,SEO Executive / Digital Marketing Executive (For Kolkata Office Only),A Us Based Digital Marketing Company,Kolkata(Sector 5 Salt Lake),0-3 Yrs,Not Disclosed,"Digital Marketing,Search Engine Optimization,Seo Content Writing,Artificial Intelligence,Report Preparation,Seo Strategies,Google AdWords,Social Media Marketing"
1383,Marketing,Digital Marketing Executive,Techmatic Systems,Hyderabad(HITEC City),0-3 Yrs,Not Disclosed,"Linkedin Ads,Lead Generation,SEM,SEO,Meta Ads,Google Analytics,Keyword Analysis,Ai Techniques"
1384,Marketing,DIGITAL MARKETING EXECUTIVE,Ntwinkle Media,Pimpri-Chinchwad,0-2 Yrs,Not Disclosed,"digital marketing,digital,marketing strategies,branding,business development,market research,media,advertising"
1385,Marketing,Job Opening For SEO||Digital Marketing|| Executive,Synmac Consultants Pvt. ltd.,"Chennai, Bangalore/ Bengaluru",0-4 Yrs,"80,000-2.25 Lacs PA","SEO Analysis,Web Technologies,Digital Marketing,Facebook Marketing,Social Media Marketing,CSS,Google Analytics,webdesigner"
1386,Marketing,Digital Marketing Intern,Datam Intelligence,Hyderabad,No fixed duration,Unpaid,
1387,Marketing,Digital Marketing Executive,Techiguru India,Ghaziabad,0-3 Yrs,Not Disclosed,"digital marketing,digital,marketing strategies,google adwords,branding,market research,media,advertising"
1388,Marketing,Digital Marketing Executive - Hyderabad,Cloudfoundation Software Solutions,Hyderabad,0-2 Yrs,2-2.5 Lacs PA,"Digital Marketing,Educational Marketing,Content Marketing,Internet Marketing,Online Marketing,Fresher,Social Media Marketing,Search Engine Marketing"
1389,Marketing,Job Role of SEO||Digital Marketing|| Executive,Synmac Consultants Pvt. Ltd.,"Chennai, Bangalore/ Bengaluru",0-4 Yrs,"80,000-2.25 Lacs PA","SEO Analysis,Web Technologies,Digital Marketing,Facebook Marketing,Social Media Marketing,CSS,Google Analytics,webdesigner"
1390,Marketing,Walk-in || Digital Marketing Executive,Aurea Living Llp,Pune(Kharadi),25 May - 15 Jun,2.25-4 Lacs PA,"Social Media,Internet Advertising,Online Branding,Online Advertising,Digital Campaigns,Social Media Campaigns,Twitter,Online Promotion"
1391,Marketing,Digital Marketing Specialist,PRK Technologies,"Hyderabad, Kamalanagar, Kushaiguda",0-1 Yrs,Not Disclosed,"Google Analytics,Digital Marketing,SEO,Google Ads,Online Campaigns,SEM,Email Marketing,Social Media Marketing"
1392,Marketing,Digital Marketing Manager,Brownsofts,Kaliakkavilai,0-1 Yrs,Not Disclosed,"Digital Marketing,Google Ads,social media strategy,Online marketing,SEM,Meta Business Suite,SEO,Digital"
1393,Marketing,Digital Marketing Executive,Scroll The Web Solutions,Panchkula,0-1 Yrs,Not Disclosed,"digital marketing,digital,search engines,google adwords,strong analytical skills,media,research,content creation"
1394,Marketing,Junior Digital Marketing Executive,Immersive Radical Digimedia,Bengaluru,0-1 Yrs,Not Disclosed,"SMM,Digital Marketing,SEO,Keyword Strategy,Digital Marketing Executive,Content Strategy,Digital,Content"
1395,Marketing,Digital Marketing Intern,Datahex,Kozhikode,0-1 Yrs,Not Disclosed,"digital marketing,digital,algorithms,email marketing,digital campaigns,instagram,advertising,google ads"
1396,Marketing,Executive Digital Marketing,PractoPulse Healthcare Services Private Limited,Hyderabad(Ameerpet),0-2 Yrs,Not Disclosed,"Content Creation,Linkedin Marketing,Canva,Digital Marketing,Campaign Management,Healthcare Marketing,Marketing Campaigns,Email Marketing"
1397,Marketing,Digital Marketing Intern,Nexivo,Hyderabad,No fixed duration,Unpaid,
1398,Marketing,Digital Marketing Intern,Arin & Human,Hyderabad,0-5 Yrs,Not Disclosed,"Social media marketing,Development planning,Email marketing,digital marketing intern,Marketing campaigns,Manager PPC,Market research,SEO"
1399,Marketing,Digital Marketing Intern,iFive,Chennai,No fixed duration,Unpaid,
1400,Marketing,Manager - Digital Marketing,Hexaware Technologies,"Noida, Bhopal, Mumbai, Nagpur, Dehradun, Mangaluru, Hyderabad, Pune, Chennai, Ahmedabad, Coimbatore, Bengaluru",7-10 Yrs,Not Disclosed,"Social media marketing,PPC,Google Analytics,Email marketing,SEM,Manager Quality Control,SEO,Digital marketing"
1401,Marketing,Digital Marketing Strategist,Aetheria Global,Indore,0-4 Yrs,Not Disclosed,"Growth Strategy,Content Marketing,Digital Strategy,Digital Branding,Performance Marketing,Digital,Strategist,Marketing"
1402,Marketing,Digital Marketing Executive & Program Management,Booma Innovative Transport Solution,Coimbatore(Ganapathy ),0-3 Yrs,2-3 Lacs PA,"Program Management,Content Marketing,Social Media Marketing,Social Media Optimization,ONLINE BRANDING,Social media,Branding,Content"
1403,Marketing,Digital Marketing Executive,TP,Gurugram,0-3 Yrs,Not Disclosed,"marketing,digital marketing,customer service,call center,sales targets,sales,customer support,Digital"
1404,Marketing,Digital Marketing Executive,Prettislim Clinic,Mumbai(Bandra West),0-2 Yrs,2.25-2.75 Lacs PA,"Social Media,Digital Marketing,Search Engine Optimization,SMM,SEO,Online Branding,Online Advertising,Internet Marketing"
1405,Marketing,Opening For SEO||Digital Marketing|| Executive,Synmac Consultants Tamil Nadu,"Chennai, Bangalore/ Bengaluru",0-4 Yrs,"80,000-2.25 Lacs PA","SEO Analysis,Web Technologies,Digital Marketing,Facebook Marketing,Social Media Marketing,CSS,Google Analytics,webdesigner"
1406,Marketing,Digital Marketing Executive,Creative Hands HR,Chennai,0-3 Yrs,2.25-3.25 Lacs PA,"Online Marketing,Digital Marketing,Email Marketing,Social Media Marketing,SEO,Affiliate Marketing,Search Engine Optimization,Social media"
1407,Marketing,Digital Marketing Executive,Jobsmill business solutions pvt ltd,"Hyderabad, Bengaluru",0-5 Yrs,2.5-6 Lacs PA,"Online Marketing,Digital Marketing,Digital,Marketing"
1408,Marketing,Manager Digital Marketing,Amrut Distilleries,Bengaluru,0-7 Yrs,Not Disclosed,"marketing planning,digital marketing,trello,autodesk,Marketing Strategy,adwords,Social Media,Marketing Campaigns"
1409,Marketing,Digital Marketing Executive,Reliance Retail,Gurugram,1-3 Yrs,Not Disclosed,"Digital Marketing,Online Branding,Online Marketing,Google AdWords,Web Marketing,SEO,Content Strategy,Digital"
1410,Marketing,Digital Marketing Executive,MR Homes,New Delhi(Sant Nagar),0-1 Yrs,1.8-2.04 Lacs PA,"Online Marketing,Digital Marketing,Social Media Marketing,SMO,Google AdWords,Search Engine Marketing,Social Media Optimization,Digital"
1411,Marketing,AI & Digital Marketing Associate,Eraqus Advisors,New Delhi(Netaji Subhash Place),0-1 Yrs,2.5-4 Lacs PA,"Website Management,Ai Techniques,Content Marketing,Design,Online Branding,Linkedin Marketing,Ai Solutions,Canva"
1412,Marketing,Digital Marketing Manager,Ikibor Funtastic,Bengaluru,0-1 Yrs,"96,000-1.8 Lacs PA","Digital Marketing,Internet Advertising,Online Branding,Online Advertising,Mobile Marketing,Website Promotion,Digital Campaigns,Digital Strategy"
1413,Marketing,Digital Marketing Executive,PN Global Enterprises,Chennai(Perumbakkam),0-1 Yrs,"96,000-1.8 Lacs PA","Social Media Marketing,Online Marketing,SEO,Online Advertising,Internet Marketing,Google AdWords,Facebook Marketing,Social Media Optimization"
1414,Marketing,Digital Marketing Executive,Mediclave Industries,Ahmedabad(Nikol),0-1 Yrs,1.44-1.8 Lacs PA,"Digital Marketing,SEO,Internet Advertising,Online Promotion,Online Branding,Online Advertising,English,Gujarati"
1415,Marketing,Digital Marketing Executive,Shivaay Interlink Ventures,"Ghaziabad(Vasundhara), New Delhi(Karol Bagh), Delhi / NCR",0-3 Yrs,1.5-2.5 Lacs PA (Including Variable: 15.0%),"Media Management,Video Editing,Digital Marketing,Digital Advertising,Meta Ads,Ad Agency,Google AdWords,Social Media Marketing"
1416,Marketing,Digital Marketing Executive,Bondify Technologies,Kochi,0-3 Yrs,"96,000-1.2 Lacs PA","Digital Marketing,Online Branding,Online Marketing,Social Media Marketing,Web Marketing,Branding,Media,Digital"
1417,Marketing,Digital Marketing Executive,Wozart,Hyderabad,1-3 Yrs,Not Disclosed,"Formulation,Online marketing,Analytical,Social media,Google AdWords,SEM,content marketing,SEO"
1418,Marketing,Digital Marketing & Website Specialist,Delta System and Software,Noida,18 Yrs,10-18 Lacs PA,"Brand Marketing,Web Marketing,Email Campaign,Web Promotion,Seach Engine Optimization,Offline Marketing,Internet Marketing,Online Marketing"
1419,Marketing,Digital Marketing Intern,Ebikego,Mumbai,0-5 Yrs,Not Disclosed,"digital marketing intern,Marketing campaigns,Mentor,Research,Digital marketing,Marketing strategy,Automotive,Marketing"
1420,Marketing,Digital Marketing Executive/Digital Marketing Manager,Intelligence Quality,"Ambattur, Chennai",3-7 Yrs,3-4.5 Lacs PA,"Digital Marketing,Social Media Marketing,SEO,Online Marketing,Campaigns,Email Marketing,Online Lead Generation,Management"
1421,Marketing,SEO Specialist,Novel Office,Bengaluru,1-3 Yrs,3-5 Lacs PA,"Communication Skills,PPC,Google Analytics,Research Analysis,Google Tag Manager,Pay Per Click,Optimization,Webflow"
1422,Marketing,SEO Specialist,Thrillophilia,Jaipur,1-5 Yrs,Not Disclosed,"Relationship management,Content strategy,Google Analytics,Competitive analysis,Project management,Web development,Link building,SEO"
1423,Marketing,SEO Specialist,EY,Kochi,8-12 Yrs,Not Disclosed,"Assurance,Google Analytics,Excel,digital content,adobe analytics,Consulting,CMS,HTML"
1424,Marketing,SEO Specialist,Pensare Marketing Services,Kozhikode,1-6 Yrs,Not Disclosed,"digital marketing,ppc,search engine,google adwords,google webmaster tools,research,social media optimization,online marketing"
1425,Marketing,Performance Marketer & SEO Specialist,Krealogy Consultancy,Chennai,2-7 Yrs,3-6 Lacs PA,"Google Ads,Seo Marketing,Meta Ads,Performance Marketing,PPC,Paid Marketing,Linkedin Ads,Youtube Ads"
1426,Marketing,SEO Specialist,Hostgraber,Kolkata,0-1 Yrs,Not Disclosed,"SEO,SEO Specialist,keyword research,media management,social media management,research,content creation,Social media"
1427,Marketing,SEO Specialist,Steps Ai Co,Hyderabad,1-4 Yrs,Not Disclosed,"digital marketing,search engine,cms,technical seo,content strategy,content management,research,seo strategies"
1428,Marketing,SEO Specialist,Skynex Marketing Services,Hyderabad,3-8 Yrs,Not Disclosed,"digital marketing,seo tools,marketing strategies,google adwords,semrush,off-page optimization,research,on-page optimization"
1429,Marketing,SEO Specialist,Hostgraber,Kolkata,0-1 Yrs,Not Disclosed,"SEO,keyword research,media management,social media management,research,content creation,Social media,Management"
1430,Marketing,SEO Specialist,Hostgraber,Kolkata,0-1 Yrs,Not Disclosed,"seo,keyword research,media management,social media management,research,content creation,Social media,Content"
1431,Marketing,Seo Specialist,Evolvous Infotech,Remote,5-7 Yrs,Not Disclosed,"Lead Generation,Ai Techniques,Organic Seo,SEO,Onpage,Seo Tools,Off Page Seo,Google Analytics"
1432,Marketing,Seo Specialist,Narayana Health (NH),"Bangalore Rural, Bengaluru(HSR Layout +2)",4-8 Yrs,10-14 Lacs PA,"On Page Optimiztion,Technical Seo,Google Analytics,Off-page Optimization,SEO,Google Search Console,Search Engine Optimization,Onpage"
1433,Marketing,SEO Specialist,Niscka,Noida,1-6 Yrs,Not Disclosed,"SEO Strategy,digital marketing,ppc,search engines,keyword research,technical seo,research,analytics"
1434,Marketing,Seo Specialist,SNB Enterprises,Sonipat,0-2 Yrs,Not Disclosed,"Quick Commerce,Ecommerce Marketing,Google Analytics,Listing,Cataloguing,E-commerce,Catalog Management,Shopify"
1435,Marketing,Seo Specialist,Action Data Systems,Mumbai(Andheri East +1),3-4 Yrs,3.5-5.5 Lacs PA,"SEO,Competitor Analysis,On Page Optimiztion,Google Analytics,Technical Seo,Search Console,Link Building,Keyword Research"
1436,Marketing,SEO Outreach Specialist,Canva,Bengaluru,0-3 Yrs,Not Disclosed,"digital marketing,pr,ppc,google adwords,media,google webmaster tools,sales,campaigns"
1437,Marketing,SEO Specialist,Leading Client,"Noida, Mumbai, Bengaluru",2-5 Yrs,Not Disclosed,"SEO,Content management,Google Analytics,Technical SEO,SEMrush,Search Console,Off-Page,On-Page"
1438,Marketing,"Local SEO Specialist - ( GMB Optimization, Remote, Flexible)",Stablx,"Mumbai, Delhi / NCR, Bengaluru",2-5 Yrs,Not Disclosed,"gmm,google,google sheets,moz,seo,performance marketing,digital marketing,google adwords"
1439,Marketing,SEO Specialist,Digencer Consulting,Remote,2-4 Yrs,Not Disclosed,"digital marketing,search engines,keyword analysis,google adwords,off-page optimization,google webmaster tools,research,on-page optimization"
1440,Marketing,SEO Specialist,Mindfount Infotech (opc),Bengaluru,3-8 Yrs,Not Disclosed,"Content strategy,Google Analytics,Content optimization,Link building,SEO,Content,Building,Analytics"
1441,Marketing,SEO Specialist,Novel Office,Bengaluru,1-3 Yrs,3-5 Lacs PA,"Communication Skills,PPC,Google Analytics,Research Analysis,Google Tag Manager,Pay Per Click,Optimization,Webflow"
1442,Marketing,SEO Specialist,Thrillophilia,Jaipur,1-5 Yrs,Not Disclosed,"Relationship management,Content strategy,Google Analytics,Competitive analysis,Project management,Web development,Link building,SEO"
1443,Marketing,SEO Specialist,EY,Kochi,8-12 Yrs,Not Disclosed,"Assurance,Google Analytics,Excel,digital content,adobe analytics,Consulting,CMS,HTML"
1444,Marketing,SEO Specialist,Pensare Marketing Services,Kozhikode,1-6 Yrs,Not Disclosed,"digital marketing,ppc,search engine,google adwords,google webmaster tools,research,social media optimization,online marketing"
1445,Marketing,Performance Marketer & SEO Specialist,Krealogy Consultancy,Chennai,2-7 Yrs,3-6 Lacs PA,"Google Ads,Seo Marketing,Meta Ads,Performance Marketing,PPC,Paid Marketing,Linkedin Ads,Youtube Ads"
1446,Marketing,SEO Specialist,Hostgraber,Kolkata,0-1 Yrs,Not Disclosed,"SEO,SEO Specialist,keyword research,media management,social media management,research,content creation,Social media"
1447,Marketing,SEO Specialist,Steps Ai Co,Hyderabad,1-4 Yrs,Not Disclosed,"digital marketing,search engine,cms,technical seo,content strategy,content management,research,seo strategies"
1448,Marketing,SEO Specialist,Skynex Marketing Services,Hyderabad,3-8 Yrs,Not Disclosed,"digital marketing,seo tools,marketing strategies,google adwords,semrush,off-page optimization,research,on-page optimization"
1449,Marketing,SEO Specialist,Hostgraber,Kolkata,0-1 Yrs,Not Disclosed,"SEO,keyword research,media management,social media management,research,content creation,Social media,Management"
1450,Marketing,SEO Specialist,Hostgraber,Kolkata,0-1 Yrs,Not Disclosed,"seo,keyword research,media management,social media management,research,content creation,Social media,Content"
1451,Marketing,Seo Specialist,Evolvous Infotech,Remote,5-7 Yrs,Not Disclosed,"Lead Generation,Ai Techniques,Organic Seo,SEO,Onpage,Seo Tools,Off Page Seo,Google Analytics"
1452,Marketing,Seo Specialist,Narayana Health (NH),"Bangalore Rural, Bengaluru(HSR Layout +2)",4-8 Yrs,10-14 Lacs PA,"On Page Optimiztion,Technical Seo,Google Analytics,Off-page Optimization,SEO,Google Search Console,Search Engine Optimization,Onpage"
1453,Marketing,SEO Specialist,Niscka,Noida,1-6 Yrs,Not Disclosed,"SEO Strategy,digital marketing,ppc,search engines,keyword research,technical seo,research,analytics"
1454,Marketing,Seo Specialist,SNB Enterprises,Sonipat,0-2 Yrs,Not Disclosed,"Quick Commerce,Ecommerce Marketing,Google Analytics,Listing,Cataloguing,E-commerce,Catalog Management,Shopify"
1455,Marketing,Seo Specialist,Action Data Systems,Mumbai(Andheri East +1),3-4 Yrs,3.5-5.5 Lacs PA,"SEO,Competitor Analysis,On Page Optimiztion,Google Analytics,Technical Seo,Search Console,Link Building,Keyword Research"
1456,Marketing,SEO Outreach Specialist,Canva,Bengaluru,0-3 Yrs,Not Disclosed,"digital marketing,pr,ppc,google adwords,media,google webmaster tools,sales,campaigns"
1457,Marketing,SEO Specialist,Leading Client,"Noida, Mumbai, Bengaluru",2-5 Yrs,Not Disclosed,"SEO,Content management,Google Analytics,Technical SEO,SEMrush,Search Console,Off-Page,On-Page"
1458,Marketing,"Local SEO Specialist - ( GMB Optimization, Remote, Flexible)",Stablx,"Mumbai, Delhi / NCR, Bengaluru",2-5 Yrs,Not Disclosed,"gmm,google,google sheets,moz,seo,performance marketing,digital marketing,google adwords"
1459,Marketing,SEO Specialist,Digencer Consulting,Remote,2-4 Yrs,Not Disclosed,"digital marketing,search engines,keyword analysis,google adwords,off-page optimization,google webmaster tools,research,on-page optimization"
1460,Marketing,SEO Specialist,Mindfount Infotech (opc),Bengaluru,3-8 Yrs,Not Disclosed,"Content strategy,Google Analytics,Content optimization,Link building,SEO,Content,Building,Analytics"
1461,Marketing,SEO SPECIALIST,Godigi Infotech,Pune,0-1 Yrs,Not Disclosed,"Interpersonal skills,Google Analytics,html5,HTML,SEO,Scripting,Interpersonal Skill,Analytics"
1462,Marketing,Junior SEO Specialist,Nestack Technologies,Hyderabad,0-2 Yrs,Not Disclosed,"digital marketing,algorithms,onpage,internet marketing,roi,google webmaster tools,off-page optimization,on-page optimization"
1463,Marketing,Youtube SEO Specialist,21K Schoolmindreflex Technologies,Bengaluru,3-5 Yrs,Not Disclosed,"digital marketing,google adwords,off-page optimization,google webmaster tools,on-page optimization,social media optimization,search engine optimization,smo"
1464,Marketing,Seo Specialist,Dignitas Digital,Remote,2-3 Yrs,4.25-5 Lacs PA,"Google Analytics,Keyword Research,Search Engine Optimization,Link Building,On-page Optimization,SEO,Optimization,Analytics"
1465,Marketing,SEO Specialist,Awrange,Pune,0-3 Yrs,Not Disclosed,"Google Analytics,Competitive analysis,Analytical,Web development,SEM,Link building,SEO,Digital marketing"
1466,Marketing,Seo Specialist,Monisa Enterprise,Remote,1-4 Yrs,3-4.5 Lacs PA,"Technical Seo,Off-page Optimization,On-page Optimization,Search Engine Optimization,SEO,Optimization,Searching,Search engine"
1467,Marketing,SEO Specialist,Digitally Bugged,Mumbai,0-3 Yrs,Not Disclosed,"digital marketing,email marketing,ppc,google adwords,social media optimization,smm,online marketing,smo"
1468,Marketing,SEO Specialist,Anytimeshoot,New Delhi,2-7 Yrs,Not Disclosed,"digital marketing,project management,search engines,content management,research,seo strategies,search engine optimization,smo"
1469,Marketing,SEO Specialist,Genius Mind Systems,Noida,0-3 Yrs,Not Disclosed,"search engines,keyword analysis,seo analysis,linkedin,off-page optimization,internet marketing,research,on-page optimization"
1470,Marketing,SEO Specialist,Niranjan Enterprises,Pune,0-2 Yrs,Not Disclosed,"search engines,keyword analysis,seo analysis,linkedin,off-page optimization,internet marketing,research,on-page optimization"
1471,Marketing,SEO Specialist,Lored,Kannur,2-7 Yrs,Not Disclosed,"digital marketing,keyword analysis,google adwords,semrush,technical seo,content strategy,google webmaster tools,off-page optimization"
1472,Marketing,SEO Specialist / Manager,Dongre Technoquip Pvt. Ltd,Mumbai,4-7 Yrs,Not Disclosed,"metadata,Google Analytics,Web analytics,Analytical,Social media,Internet marketing,HTML,Windows"
1473,Marketing,SEO Specialist,Vibrant Info,Bengaluru,3-8 Yrs,Not Disclosed,"Social media marketing,metadata,Google Analytics,Schema,Wordpress,CMS,HTML,Content writing"
1474,Marketing,SEO Specialist,Sowedane,Hyderabad,1-5 Yrs,Not Disclosed,"Content strategy,PPC,Google Analytics,Campaign management,Javascript,HTML,SEM,Omniture"
1475,Marketing,Seo Specialist,Dintellects Solutions,Jabalpur,3-6 Yrs,3.84-5.76 Lacs PA,"Google Analytics,Keyword Analysis,Keyword Research,Search Engine Optimization,Content Optimization,English,Off Page Seo,Hindi"
1476,Marketing,Seo Specialist,Northern Sky Properties,Mangaluru(Hampankatta),2-4 Yrs,3-3.75 Lacs PA,"Screaming Frog,Semrush,HTML,SEO,Google Search Console,Google Search,Console,Searching"
1477,Marketing,Seo Specialist,Zentrix Technologies,Dehradun,3-4 Yrs,3-3.6 Lacs PA,"Technical Seo,Google Analytics,AIO,Keyword Research,semrush,AEO,GEO,Google Ads"
1478,Marketing,Seo Specialist,SkySun,"Mohali, Chandigarh",2-7 Yrs,Not Disclosed,"SEO,GEO,Seo Tools,Google Analytics,SOP,Wordpress,CMS,AEO"
1479,Marketing,EbizON | SEO Specialist ll,Ebizon Net Info,Dehradun,4-7 Yrs,Not Disclosed,"Google Analytics,Analytical,Consulting,Video conferencing,Customer service,Link building,SEO,microsoft"
1480,Marketing,SEO Execution Specialist,ALM Corp,"Mumbai, Hyderabad, Delhi / NCR",4-8 Yrs,Not Disclosed,"SEO,SEO Specialist,Search Engine Optimization Specialist,SEO Manger,Digital Marketing Manager,SEO Consultant,SEO Expert,Digital"
1481,Marketing,Content Marketing Specialist,Thrillophilia,Jaipur,1-5 Yrs,Not Disclosed,"Content strategy,digital content,Google Analytics,Email marketing,Analytical,Social media,Project management,Customer retention"
1482,Marketing,Lead - Content Marketing,Inmobi,Bengaluru,3-5 Yrs,Not Disclosed,"Accessories,SAN,PPC,Content writing,SEM,Weaving,SEO,Digital marketing"
1483,Marketing,Holography- Officer - Marketing,Uflex,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-5 Yrs,Not Disclosed,"Social media marketing,Email marketing,Search engine marketing,Marketing campaigns,Automation tools,SEM,content marketing,SEO"
1484,Marketing,Growth Content Marketer,Zylu Business Solutions,Bengaluru(Doddakallasandra),3-5 Yrs,5-8 Lacs PA,"Content Marketing,Digital Marketing,Social Media Marketing,Content Strategy,User Acquisition,Content Development,Growth Marketing,Affiliate Marketing"
1485,Marketing,SEO & Content Marketing Specialist,Ideabox Creations,Udaipur,0-5 Yrs,Not Disclosed,"Graphic designing,Google Analytics,Email marketing,Social media,Wordpress,Link building,Creative writing,content marketing"
1486,Marketing,Senior Content Marketer,Dash Ast Technology,Hyderabad,4-9 Yrs,16-25 Lacs PA,"b2b saas,Content Marketing,Content Creation,Technical Content Writing,SEO,Senior,Technical writing,B2B"
1487,Marketing,Content Marketing Manager,Skynex Marketing Services,Remote,3-5 Yrs,Not Disclosed,"digital marketing,digital,marketing strategies,customer engagement,media,marketing management,content management,editing"
1488,Marketing,Content Marketing - Sr . Executive,Ksquare99 Media Services,Noida,0-3 Yrs,Not Disclosed,"digital marketing,content editing,content management,editing,creative writing,marketing,blog writing,content development"
1489,Marketing,Growth/Form Content marketer,Superu Ai,Bengaluru,0-1 Yrs,Not Disclosed,"storytelling,Content marketing,LinkedIn,newsletters,Growth marketing,blogs,X,Marketing"
1490,Marketing,Content Marketing Manager B2B Technology & Thought Leadership,Marketing Consultants,Remote,8-13 Yrs,12-15 Lacs PA,"B2B Marketing,Enterprise Technology Content,Content Marketing,LinkedIn Branding,E,Executive Ghostwriting,Research & Strategic Content Synthesis,Enterprise"
1491,Marketing,Content Marketer,Cloudkeeper,Delhi / NCR,1-3 Yrs,Not Disclosed,"SEO Writing,Content Marketing,Technical Content Writing,Content Writing,Content,Technical writing,SEO,Technical"
1492,Marketing,Growth Content Marketer,Zylu Business Solutions,Bengaluru(Doddakallasandra),3-5 Yrs,4.8-8 Lacs PA,"Growth Marketing,B2B Marketing,Content Marketing,Saas Marketing,Social Media Marketing,SEO,Social media,B2B"
1493,Marketing,Content Marketing - Sr . Executive,Ksquare99 Media Services,Gurugram,0-3 Yrs,Not Disclosed,"digital marketing,content editing,content management,editing,creative writing,marketing,blog writing,content development"
1494,Marketing,Specialist - Content Marketing,Evoort Solutions,Ahmedabad,2-3 Yrs,Not Disclosed,"Content Marketing,social media platforms,Digital Marketing,Campaign Management,content strategy,Marketing,Management,Campaigns"
1495,Marketing,Marketing Content Specialist,SCI Automation Pte Ltd,Chennai,2-4 Yrs,Not Disclosed,"KeyShot,Blender,video shooting,3D rendering,Content creation,content marketing,IP camera,Marketing"
1496,Marketing,Manager - Content Marketing,Fabindia,Faridabad,6-7 Yrs,Not Disclosed,"marketing strategies,content editing,seo writing,market research,media,marketing management,research,content creation"
1497,Marketing,Content and Marketing Manager,QX Global Group,Remote,5-10 Yrs,Not Disclosed,"Content Marketing,SEO Analysis,SMO,SEM,SEO,Social Media Optimization,Search Engine Optimization,Content Optimization"
1498,Marketing,Head-Content Marketing,Altxen,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,Not Disclosed,"Content strategy,Lead generation,B2B,Head Business Development,content marketing,Management,SEO,Customer engagement"
1499,Marketing,Product & Content Marketing Manager,Soprema Group,Gurugram,9-12 Yrs,Not Disclosed,"Content Development & Marketing,Marketing Strategy,Brand Marketing,Brand Building,knowledge of digital platforms,Traditional Marketing,basic SEO,Market Intelligence & Segment Targeting"
1500,Marketing,Manager Content Marketing(Copy Writing),Simplilearn,Bengaluru,4-9 Yrs,Not Disclosed,"Product launch,Copy writing,Brand strategy,Social media,Journalism,content marketing,Marketing communication,Product marketing"
1501,Marketing,Content Marketing Specialist,Thrillophilia,Jaipur,1-5 Yrs,Not Disclosed,"Content strategy,digital content,Google Analytics,Email marketing,Analytical,Social media,Project management,Customer retention"
1502,Marketing,Lead - Content Marketing,Inmobi,Bengaluru,3-5 Yrs,Not Disclosed,"Accessories,SAN,PPC,Content writing,SEM,Weaving,SEO,Digital marketing"
1503,Marketing,Holography- Officer - Marketing,Uflex,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-5 Yrs,Not Disclosed,"Social media marketing,Email marketing,Search engine marketing,Marketing campaigns,Automation tools,SEM,content marketing,SEO"
1504,Marketing,Growth Content Marketer,Zylu Business Solutions,Bengaluru(Doddakallasandra),3-5 Yrs,5-8 Lacs PA,"Content Marketing,Digital Marketing,Social Media Marketing,Content Strategy,User Acquisition,Content Development,Growth Marketing,Affiliate Marketing"
1505,Marketing,SEO & Content Marketing Specialist,Ideabox Creations,Udaipur,0-5 Yrs,Not Disclosed,"Graphic designing,Google Analytics,Email marketing,Social media,Wordpress,Link building,Creative writing,content marketing"
1506,Marketing,Senior Content Marketer,Dash Ast Technology,Hyderabad,4-9 Yrs,16-25 Lacs PA,"b2b saas,Content Marketing,Content Creation,Technical Content Writing,SEO,Senior,Technical writing,B2B"
1507,Marketing,Content Marketing Manager,Skynex Marketing Services,Remote,3-5 Yrs,Not Disclosed,"digital marketing,digital,marketing strategies,customer engagement,media,marketing management,content management,editing"
1508,Marketing,Content Marketing - Sr . Executive,Ksquare99 Media Services,Noida,0-3 Yrs,Not Disclosed,"digital marketing,content editing,content management,editing,creative writing,marketing,blog writing,content development"
1509,Marketing,Growth/Form Content marketer,Superu Ai,Bengaluru,0-1 Yrs,Not Disclosed,"storytelling,Content marketing,LinkedIn,newsletters,Growth marketing,blogs,X,Marketing"
1510,Marketing,Content Marketing Manager B2B Technology & Thought Leadership,Marketing Consultants,Remote,8-13 Yrs,12-15 Lacs PA,"B2B Marketing,Enterprise Technology Content,Content Marketing,LinkedIn Branding,E,Executive Ghostwriting,Research & Strategic Content Synthesis,Enterprise"
